1.4  0.2912,  -0.1016,  -0.1314,   0.1567,   0.0765,   0.0752,  -0.6604,   1.6452,  # 27695
1.4  0.2907,  -0.0982,  -0.1244,   0.1564,   0.0762,   0.0747,  -0.6674,   1.6500,  # 27695
1.4  0.2903,  -0.0950,  -0.1171,   0.1564,   0.0758,   0.0744,  -0.6746,   1.6544,  # 27695
1.4  0.2903,  -0.0916,  -0.1100,   0.1562,   0.0754,   0.0740,  -0.6817,   1.6582,  # 27695
1.4  0.2903,  -0.0882,  -0.1028,   0.1562,   0.0749,   0.0734,  -0.6888,   1.6618,  # 27695
1.4  0.2906,  -0.0850,  -0.0959,   0.1562,   0.0745,   0.0729,  -0.6957,   1.6648,  # 27695
1.4  0.2912,  -0.0819,  -0.0892,   0.1562,   0.0739,   0.0725,  -0.7023,   1.6674,  # 27695
1.4  0.2921,  -0.0790,  -0.0829,   0.1563,   0.0735,   0.0719,  -0.7088,   1.6698,  # 27695
1.4  0.2930,  -0.0764,  -0.0769,   0.1563,   0.0731,   0.0715,  -0.7147,   1.6716,  # 27695
1.4  0.2941,  -0.0740,  -0.0716,   0.1566,   0.0726,   0.0712,  -0.7204,   1.6734,  # 27695
1.4  0.2952,  -0.0718,  -0.0668,   0.1567,   0.0723,   0.0708,  -0.7255,   1.6748,  # 27695
1.4  0.2964,  -0.0699,  -0.0626,   0.1568,   0.0719,   0.0704,  -0.7299,   1.6760,  # 27695
1.4  0.2974,  -0.0683,  -0.0593,   0.1570,   0.0716,   0.0701,  -0.7336,   1.6768,  # 27695
1.4  0.2982,  -0.0671,  -0.0566,   0.1571,   0.0713,   0.0699,  -0.7364,   1.6774,  # 27695
1.4  0.2988,  -0.0663,  -0.0548,   0.1573,   0.0712,   0.0696,  -0.7385,   1.6780,  # 27695
1.4  0.2992,  -0.0658,  -0.0538,   0.1573,   0.0712,   0.0695,  -0.7397,   1.6782,  # 27695
1.4  0.2993,  -0.0657,  -0.0533,   0.1573,   0.0711,   0.0696,  -0.7401,   1.6784,  # 27695
